conv_id	turn_id	topic	head	relation	tail
mixed_1Q84_Harry_Potter	0	1Q84	1Q84	P50	Haruki Murakami
mixed_1Q84_Harry_Potter	1	Harry Potter	Harry Potter	P50	J. K. Rowling
mixed_1Q84_Harry_Potter	2	1Q84	1Q84	P27	Japan
mixed_1Q84_Harry_Potter	3	Harry Potter	Harry Potter	P50_reverse	Harry Potter and the Philosopher's Stone
mixed_1Q84_Harry_Potter	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_Harry_Potter	5	Harry Potter	Harry Potter	P50_reverse	Harry Potter and the Deathly Hallows
mixed_1Q84_Harry_Potter	6	1Q84	1Q84	P50	BOOL::Yes
mixed_1Q84_Harry_Potter	7	Harry Potter	Harry Potter	<UNK>	Hermione Granger
mixed_1Q84_Harry_Potter	8	1Q84	1Q84	P577	YEAR::2006
mixed_1Q84_Harry_Potter	9	Harry Potter	Harry Potter	P50_reverse	COUNT::7
mixed_1Q84_One_Flew_Over_the_Cuckoo's_Nest	0	1Q84	1Q84	<UNK>	Haruki Murakami
mixed_1Q84_One_Flew_Over_the_Cuckoo's_Nest	1	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	P50	Ken Kesey
mixed_1Q84_One_Flew_Over_the_Cuckoo's_Nest	2	1Q84	1Q84	P27	Japan
mixed_1Q84_One_Flew_Over_the_Cuckoo's_Nest	3	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	P577	YEAR::1962
mixed_1Q84_One_Flew_Over_the_Cuckoo's_Nest	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_One_Flew_Over_the_Cuckoo's_Nest	5	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	Oregon
mixed_1Q84_One_Flew_Over_the_Cuckoo's_Nest	6	1Q84	1Q84	P50	BOOL::Yes
mixed_1Q84_One_Flew_Over_the_Cuckoo's_Nest	7	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	BOOL::Yes
mixed_1Q84_One_Flew_Over_the_Cuckoo's_Nest	8	1Q84	1Q84	P577	YEAR::2006
mixed_1Q84_One_Flew_Over_the_Cuckoo's_Nest	9	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	BOOL::Yes
mixed_1Q84_Harry_Potter_and_the_Philosophers_Stone	0	1Q84	1Q84	P50	Haruki Murakami
mixed_1Q84_Harry_Potter_and_the_Philosophers_Stone	1	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Sorcerer's Stone
mixed_1Q84_Harry_Potter_and_the_Philosophers_Stone	2	1Q84	1Q84	P27	Japan
mixed_1Q84_Harry_Potter_and_the_Philosophers_Stone	3	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	P50	J.K. Rowling
mixed_1Q84_Harry_Potter_and_the_Philosophers_Stone	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_Harry_Potter_and_the_Philosophers_Stone	5	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Chamber of Secrets
mixed_1Q84_Harry_Potter_and_the_Philosophers_Stone	6	1Q84	1Q84	P50	BOOL::Yes
mixed_1Q84_Harry_Potter_and_the_Philosophers_Stone	7	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Prisoner of Azkaban
mixed_1Q84_Harry_Potter_and_the_Philosophers_Stone	8	1Q84	1Q84	P577	YEAR::2006
mixed_1Q84_Harry_Potter_and_the_Philosophers_Stone	9	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Goblet of Fire
mixed_1Q84_Charlotte's_Web	0	1Q84	1Q84	P50	Haruki Murakami
mixed_1Q84_Charlotte's_Web	1	Charlotte's Web	Charlotte's Web	<UNK>	E. B. White
mixed_1Q84_Charlotte's_Web	2	1Q84	1Q84	P27	Japan
mixed_1Q84_Charlotte's_Web	3	Charlotte's Web	Charlotte's Web	<UNK>	Haper
mixed_1Q84_Charlotte's_Web	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_Charlotte's_Web	5	Charlotte's Web	Charlotte's Web	P577	YEAR::1952
mixed_1Q84_Charlotte's_Web	6	1Q84	1Q84	P166	BOOL::Yes
mixed_1Q84_Charlotte's_Web	7	Charlotte's Web	Charlotte's Web	P166	Newbery Medal
mixed_1Q84_Charlotte's_Web	8	1Q84	1Q84	P577	YEAR::2006
mixed_1Q84_Charlotte's_Web	9	Charlotte's Web	Charlotte's Web	<UNK>	United States of America
mixed_1Q84_Ready_Player_One	0	1Q84	1Q84	P50	Haruki Murakami
mixed_1Q84_Ready_Player_One	1	Ready Player One	Ready Player One	P50	Ernest Cline
mixed_1Q84_Ready_Player_One	2	1Q84	1Q84	P27	Japan
mixed_1Q84_Ready_Player_One	3	Ready Player One	Ready Player One	P136	science fiction novel
mixed_1Q84_Ready_Player_One	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_Ready_Player_One	5	Ready Player One	Ready Player One	<UNK>	Ready Player One was made into a movie.
mixed_1Q84_Ready_Player_One	6	1Q84	1Q84	P50	BOOL::Yes
mixed_1Q84_Ready_Player_One	7	Ready Player One	Ready Player One	<UNK>	Crown Publishing Group
mixed_1Q84_Ready_Player_One	8	1Q84	1Q84	P577	YEAR::2006
mixed_1Q84_Ready_Player_One	9	Ready Player One	Ready Player One	P166	Ready Player One won the Promethus Award.
mixed_1Q84_To_Kill_a_Mockingbird	0	1Q84	1Q84	P50	Haruki Murakami
mixed_1Q84_To_Kill_a_Mockingbird	1	To Kill a Mockingbird	To Kill a Mockingbird	<UNK>	BOOL::Yes
mixed_1Q84_To_Kill_a_Mockingbird	2	1Q84	1Q84	P27	Japan
mixed_1Q84_To_Kill_a_Mockingbird	3	To Kill a Mockingbird	To Kill a Mockingbird	P577	YEAR::1961
mixed_1Q84_To_Kill_a_Mockingbird	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_To_Kill_a_Mockingbird	5	To Kill a Mockingbird	To Kill a Mockingbird	P136	Fiction
